trap_0,trap_1,trap_2
3.475351437506777330e-01,9.206851689880548584e-01,6.375840212665955242e-01
4.801341600697351941e-01,2.706916674657804389e-01,5.588499188382178851e-01
5.475532128758500150e-01,7.497954921028104902e-02,4.084058794058219588e-01
4.800477557745496116e-01,8.175879098389888799e-01,6.482802165449177423e-01
9.134012494919784286e-01,6.288355889258786524e-01,1.000688929764795398e+00
1.112745199242162419e+00,9.428526586893350991e-01,1.484686783074457672e+00
1.056938827082411159e+00,8.588018065249305444e-01,1.234554097302980269e+00
8.339942515275842183e-01,1.061541211600700363e+00,9.953396764562592036e-01
1.419495685135632845e+00,1.273731853121590873e+00,1.211407522731267061e+00
1.170104674715207516e+00,1.096540815060453644e+00,1.175773209909773298e+00
1.703063849773952754e+00,1.642937543045424720e+00,1.204596091502732502e+00
1.233068661979302316e+00,1.413634857318672555e+00,1.499332286377146328e+00
1.939063332982402077e+00,1.403817028792626154e+00,1.723407579705302561e+00
1.762045710346511251e+00,1.791174473277906243e+00,2.318835222734424661e+00
1.488497991140470544e+00,1.996635041788107801e+00,1.878732399226813232e+00
1.854340906581046555e+00,1.879786945685508970e+00,2.355718170660131339e+00
2.039214549525119047e+00,1.764227929769786929e+00,2.553230590231077013e+00
2.167293427402546158e+00,2.271391695545800005e+00,2.109098386731121710e+00
1.840359805203121368e+00,1.606917605048581610e+00,2.617355908970286471e+00
1.838729903276494326e+00,1.861682576615392382e+00,2.385422438796717337e+00
2.252584233952178216e+00,2.204565741258069256e+00,2.067448285610169467e+00
2.059975114936059448e+00,1.791682180508479938e+00,2.279554007454663633e+00
2.263360557617121405e+00,2.201107153372804603e+00,2.199572219511533255e+00
2.398797674169565575e+00,2.154482882020512413e+00,2.101240108442566257e+00
1.640380032780130559e+00,2.404638179342865723e+00,2.075381872786934867e+00
2.161772460608495372e+00,1.811018920109222607e+00,2.128718816695106764e+00
2.390377956154376982e+00,1.835211908801164471e+00,2.153238208038322110e+00
1.859252694859959254e+00,2.048465253581401413e+00,1.683046185623482627e+00
1.619878283269524655e+00,1.125853581179053542e+00,1.860306359641937357e+00
1.993737894885034612e+00,2.698077436405531770e+00,1.311358240147655119e+00
1.740757126906210983e+00,1.455127952905237887e+00,1.742961821827830882e+00
1.823369808275804083e+00,1.335654371224868520e+00,1.741684729776951324e+00
1.335750951272174802e+00,1.697653917558672454e+00,1.488502115795500735e+00
8.759911981386595548e-01,1.308587127824617724e+00,1.406292625830945831e+00
1.166996770586625098e+00,6.661714143889231332e-01,1.376982931067900040e+00
9.457148738413064804e-01,1.267541533772459816e+00,8.799330664795761425e-01
1.193281482326714160e+00,1.217297685912204441e+00,8.889696779150652040e-01
9.034849674706108003e-01,7.104112309146821680e-01,9.986717261022000081e-01
2.460220582257017230e-01,6.507967204686245788e-01,1.035842548374974914e+00
2.733863292378838628e-01,7.777306324466614074e-01,7.504116736724195658e-01
8.020140527353813997e-01,2.642432667848700345e-01,1.302735168465763094e+00
6.554187570542533425e-01,5.830058210909718763e-01,4.240810801734378743e-01
1.849431243337976427e-01,4.368056872396936519e-01,6.769142629127981037e-01
3.142293353766067443e-01,1.120641896140155414e-01,6.945622778218157878e-01
3.986558234474418816e-01,0.000000000000000000e+00,2.248528034120526597e-01
3.695794833281310643e-01,1.613764333456218780e-01,0.000000000000000000e+00
4.701637847362509781e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.769456881664685288e-01,5.004230677040492070e-01,2.486830999487512628e-01
1.788426242113964337e-01,2.505167364519228501e-01,5.403787122635945739e-01
1.514037631375939608e-01,4.636835393419165841e-01,3.105587022305729139e-01
5.817065974745603274e-01,3.053703379179224520e-01,3.168405799255111233e-01
0.000000000000000000e+00,3.934143094722989398e-01,2.007798094429779356e-01
3.354195365789426342e-01,1.421164589372296561e-01,5.453250539444149947e-01
4.613892830241168030e-01,6.519034798005421960e-01,0.000000000000000000e+00
1.092726534981479092e-01,1.072286824051311482e+00,6.065893171716192356e-01
7.317793372102585625e-01,5.390289866135821173e-01,6.403731461347327292e-01
5.398925242232132105e-01,5.574444696419866840e-01,3.241747539877091189e-01
1.104128551852187723e+00,7.980441023003580492e-01,1.498074490200622222e+00
9.230067105021428908e-01,8.163002506321039853e-01,5.444603662460649751e-01
1.280209291981511122e+00,8.690195301486132173e-01,7.562071706903771284e-01
1.565653081551368286e+00,1.241458093190451306e+00,8.397410677341536900e-01
1.435415555069365467e+00,1.233261420340296732e+00,1.653647020782929911e+00
1.176599321260704212e+00,1.870977742440355529e+00,1.172890205939800756e+00
1.100309297531143926e+00,1.554665379929072611e+00,1.755201810931799056e+00
2.190738407298679302e+00,1.761896765333196058e+00,1.840976217800142978e+00
1.734677088774898790e+00,2.053671307131095247e+00,1.845965870045596757e+00
1.656553173950498392e+00,1.772895902489431963e+00,1.470848986243721734e+00
1.991787874589347807e+00,2.379531710197781980e+00,1.764878834774754157e+00
1.965560466748860646e+00,1.833175602137621762e+00,2.524918356903878447e+00
2.341098704917016438e+00,1.842957715087372605e+00,1.698229705838424364e+00
2.145194697416544560e+00,2.025136137030338901e+00,1.885519754574883189e+00
2.175066692511578026e+00,2.136526599835911089e+00,2.122267860591938504e+00
1.978334957788164816e+00,1.772313414068338533e+00,2.435405895709265689e+00
2.340870429624247961e+00,2.189471564761346301e+00,2.275491757181460795e+00
1.882548857391559416e+00,1.692462896966227870e+00,2.415322121886655626e+00
2.370708649355242503e+00,2.588583337589701827e+00,1.850753547534453869e+00
2.592197496582455241e+00,2.110717157263107158e+00,2.418449220860219295e+00
1.628050214223464076e+00,1.892868708244417331e+00,2.256164670626856328e+00
1.283115096488260942e+00,1.750482430408584644e+00,1.544614499356566251e+00
2.133574374717396971e+00,1.833181605908642320e+00,2.410485610543282586e+00
2.627492002885733591e+00,1.796198817711667894e+00,2.550842016293373149e+00
1.467787292069588689e+00,1.454711457047748624e+00,1.537491539587145128e+00
1.289514444403172311e+00,1.388784643896918469e+00,1.681419017028779717e+00
1.731295567176678318e+00,1.498452385524075225e+00,1.973831661974799534e+00
1.187099187270066469e+00,1.283080539948866505e+00,9.949435954593982556e-01
1.168729035074304035e+00,1.602300611358821181e+00,7.235785845343998268e-01
1.095564759994867243e+00,1.541361112273658129e+00,8.109167633400238273e-01
1.239063945632215891e+00,1.084269680824643256e+00,9.093432838378562311e-01
8.390936272945065388e-01,1.102764207328800428e+00,7.871516721169758979e-01
9.287599649815129199e-01,4.448386008699288241e-01,1.027599265110243687e+00
6.823168502881581388e-01,9.265021407860152269e-01,8.158377395451485992e-01
3.785339221733645121e-01,6.227602124148664542e-01,2.581120738681264570e-01
4.409294644362387050e-01,6.822778365444561732e-01,7.070913327858610042e-01
1.663693522785227308e-01,9.315960913069960547e-01,1.013713654333259662e+00
3.789706298672690377e-01,0.000000000000000000e+00,7.361324178274293306e-01
0.000000000000000000e+00,3.928284280628187020e-01,6.118762086518528820e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.710371358709969813e-01
6.661467271655249212e-01,4.067171899952947145e-01,5.241476009673136094e-01
1.913358598103435670e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.838293923583870781e-01,5.138012989880191839e-02,4.253043911009156686e-01
3.607520518772314722e-01,2.681112526300579169e-01,1.811166000576017732e-01
1.028010818092865986e-01,4.131109985045595678e-01,5.683298919377830494e-01
1.964231470711369221e-01,2.874219841155559729e-01,4.047869226919443841e-01
4.420885949463621567e-01,7.669469265044606687e-02,0.000000000000000000e+00
4.617408867796640726e-01,2.109564687917212245e-01,4.154140201483966788e-01
1.037002337491685355e-01,7.168401192037111569e-01,8.169556927724331841e-01
7.868801207601024972e-01,5.352274570532423725e-01,1.981071762391641844e-01
4.548047702821315097e-01,1.267909342165270958e-01,4.641932898134446539e-01
4.184531428619738813e-01,9.883756404371371040e-01,5.046749254399071072e-01
5.752525919577480273e-01,9.702696568715057923e-01,3.967013308237353209e-01
8.435207324058457967e-01,1.222708999288026677e+00,1.249064818293351475e+00
1.567653396131595045e+00,9.784750798316705911e-01,1.472762510640483136e+00
8.473392285237650867e-01,1.448446955527982194e+00,1.440012962117107165e+00
1.368559448015622237e+00,1.002217204254817640e+00,1.393307774886502814e+00
7.979683568603861410e-01,1.610315607547197159e+00,1.423706248993221957e+00
1.554134807098976001e+00,1.407490794154117930e+00,1.626418977199931781e+00
1.934593097286571028e+00,1.867028683519812882e+00,1.445256396916445363e+00
1.697065750112717764e+00,2.069757981656071166e+00,2.036218426866655662e+00
1.674316181075792276e+00,1.642325612638236176e+00,2.176770355452310568e+00
2.017964067388660521e+00,1.933141904321475923e+00,2.228273808372271070e+00
2.233029391238850359e+00,2.034670253830455078e+00,1.863699400578017418e+00
2.284553296958430124e+00,2.442355471005396073e+00,2.108977328237248816e+00
2.726758398864352451e+00,2.348183670096349651e+00,2.085281996991608544e+00
2.233692059126935803e+00,1.805158554222914935e+00,2.707514253816253547e+00
2.014985844172174190e+00,2.329991352310621266e+00,2.246617734674822398e+00
2.162206243004007433e+00,2.423526762813741797e+00,1.635378731820881226e+00
2.170959310412110543e+00,2.829850642876376998e+00,2.312260569347376116e+00
2.203563032469487926e+00,1.667197088399794858e+00,2.735621692147347961e+00
2.126007898716585132e+00,1.974110552705218291e+00,2.340568957552185747e+00
2.137645807322071434e+00,2.485467382079410648e+00,2.349299938667073651e+00
1.521728847709124643e+00,1.616462776311650584e+00,2.033802245948329368e+00
2.197399434983115629e+00,1.588672572993684806e+00,1.357093902315547718e+00
1.690700877564488946e+00,2.018247316854888229e+00,1.320045332024917917e+00
1.416117137797048287e+00,2.073587344994790804e+00,1.394280414310390404e+00
1.856048519936197794e+00,1.464119025831100984e+00,1.626673560931849005e+00
1.949802689258361088e+00,1.716643038730155002e+00,1.647604435989930449e+00
1.587224109137390204e+00,1.474402245116541721e+00,1.646139909929414058e+00
1.368884474408981200e+00,1.776161390460945233e+00,1.218399267425908095e+00
9.203339083884152227e-01,1.199544468087379911e+00,1.487078777523327400e+00
1.940933521088729741e+00,1.376537513335100105e+00,9.955386922307933872e-01
1.224761921910896501e+00,6.897489779181645853e-01,7.493374811083324261e-01
5.036067118545723975e-01,7.899314581188585649e-01,1.100887627590934947e+00
5.013854530843107060e-01,7.062654918276883853e-01,4.609433330249821381e-01
6.580290278404139492e-01,9.736676375144102114e-01,0.000000000000000000e+00
7.045800216040937203e-02,7.107612536153422589e-01,2.188903140748356124e-01
5.020783739320526795e-01,2.259633124408276239e-01,4.797371154797676063e-01
2.392946673925167578e-01,5.816064632103250531e-01,0.000000000000000000e+00
6.824251544416555237e-01,5.457333572750746598e-01,2.074025604932173139e-01
5.536301564030590150e-01,2.314900406187508641e-01,1.653566496856819779e-01
0.000000000000000000e+00,1.517594880644056177e-01,0.000000000000000000e+00
2.198019017101397465e-01,1.491501522751793041e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,6.126141557021733131e-02
5.401825256765027117e-01,2.639140283393310304e-01,4.316107501150215353e-02
2.794899433122943755e-01,2.994315613421310585e-01,6.070337353914381229e-01
4.295053929706845741e-01,5.325200186888645604e-03,3.774426708544252884e-01
0.000000000000000000e+00,5.372778493093112173e-01,0.000000000000000000e+00
